steps,return
60,1873.6087
63,1868.6404750000008
66,1881.3515083333343
69,1877.2172083333342
72,1872.525775
75,1872.2628250000005
78,1870.693191666667
81,1878.4888250000006
84,1888.180983333333
87,1886.1466166666671
90,1889.051758333333
93,1889.0889666666662
96,1886.0581833333335
99,1888.3753083333338
102,1885.9178833333335
105,1884.8322416666663
108,1881.7623166666665
111,1884.7894166666665
114,1888.8378833333336
117,1882.5397416666663
120,1880.1996583333332
123,1880.0612416666665
126,1871.8301749999998
129,1870.0626249999998
132,1862.6006333333335
135,1866.66195
138,1860.2468333333325
141,1859.4276083333334
144,1852.0351666666663
147,1856.3589166666663
150,1849.2979499999994
