steps,return
50,10213.282792542119
51,18461.1067486687
52,11338.414759540436
53,17371.8384814293
54,14925.877014606309
55,15996.922917747992
56,12523.689580480737
57,16524.319482093902
58,11828.356820248562
59,14902.794407625692
60,9840.493780698864
61,15747.127406938249
62,11091.452710092033
63,15179.05477117101
64,15288.99290113283
65,18030.534676232903
66,15556.773057358992
67,17058.641021941443
68,10717.591890238351
69,19651.29059621245
70,8640.225050779805
71,17325.5755430933
72,12278.604823753849
73,18938.168800251315
74,8547.28528812876
75,17116.889165336732
76,9652.533123676563
77,16697.709586482542
78,12553.942583895381
79,16368.956258230091
80,9288.499139106867
81,13411.067024730231
82,10638.204579909703
83,11215.473613920609
84,-4276.705869306154
85,-4978.345169722667
86,9140.329638442578
87,12189.046755474265
88,5115.601652519949
89,5446.38343543274
90,9046.436154232513
91,16239.439411521322
92,13454.52399436864
93,17299.117782702397
94,13621.176310908058
95,17036.782520780664
96,15278.261149254598
97,17175.77466964102
98,19352.49227013386
99,18460.105429080337
100,18084.35638422462
101,19365.099334983883
102,17563.23339986231
