steps,return
40,-153.64526384642622
41,-76.13879223598337
42,-65.18749230278175
43,-123.93675886913803
44,-74.76188434988262
45,-105.66750245694196
46,-122.3941584417471
47,-121.69048080061208
48,-145.07932110807135
49,-150.910606878542
50,-119.1608417050353
51,-109.98392537035619
52,-127.93764723665578
53,-130.64966798553706
54,-127.50276715946582
55,-120.24747381013032
56,-107.15886247406772
57,-118.74764642346302
58,-149.10870222786542
59,-118.0680505464705
60,-139.7568455980607
61,-143.04297537588215
62,-124.44221443271897
63,-143.30566347838382
64,-109.47733723918981
65,-104.5686422398233
66,-101.92562990107888
67,-110.62497006930268
68,-173.3648155836081
69,-162.41666720083478
