steps,return
21,1371.5022833333335
24,1405.3396833333336
27,1415.494166666667
30,1423.9357499999999
33,1431.2118333333335
36,1443.4469166666665
39,1457.7555500000005
42,1471.1678166666668
45,1481.8275666666668
48,1492.7245333333337
51,1496.2676999999996
54,1488.8786166666662
57,1486.554683333333
60,1493.1821666666667
63,1487.4651000000001
66,1484.0783499999998
69,1481.308933333333
72,1479.5495166666672
75,1480.4263
78,1482.911233333333
81,1480.7196166666665
84,1477.348466666667
87,1476.1089000000009
90,1470.0643833333331
93,1463.1681333333333
96,1458.2234833333334
99,1453.5637166666666
102,1452.1027000000006
105,1447.7788999999996
108,1445.1374999999996
111,1442.9881333333335
114,1441.6948666666667
117,1439.5061833333332
120,1437.6548833333336
123,1435.380383333333
126,1434.326866666667
129,1433.1244166666668
132,1430.8151166666667
135,1429.44035
138,1428.8062166666668
141,1427.5141333333331
144,1425.48735
147,1424.0772000000004
150,1423.0179499999995
153,1420.9774333333332
156,1420.1128833333332
159,1419.4630166666668
162,1418.0541333333333
165,1415.6297333333334
168,1413.88705
171,1412.678483333333
174,1411.9408666666675
177,1410.3329666666668
180,1408.6282166666667
183,1407.785983333333
186,1406.2311
189,1406.1957999999995
192,1405.209516666666
195,1405.535016666667
198,1404.2520666666667
201,1403.149916666667
204,1403.1711166666666
207,1401.08865
210,1399.736716666667
213,1398.2609666666667
216,1397.2589666666672
219,1395.6298333333332
222,1385.8631833333332
225,1384.0930166666665
228,1382.1745000000003
231,1383.6899499999997
234,1383.2929333333334
237,1378.8819000000005
240,1379.044933333333
243,1378.0159
246,1374.5655166666668
249,1375.3064000000002
252,1373.9968166666665
255,1373.7985666666666
258,1372.3690166666665
261,1372.3380333333332
264,1371.9884166666664
267,1371.2140000000002
270,1369.0391333333337
273,1369.3255166666668
276,1368.5041666666666
279,1367.718083333333
282,1368.108333333333
285,1366.4327833333336
288,1365.5327499999996
291,1366.2894999999999
294,1363.9876166666666
297,1364.3934166666666
300,1362.7663499999999
303,1359.3971333333334
306,1358.489416666667
309,1359.7785833333337
312,1358.1841999999992
315,1357.7344166666664
318,1356.0620833333344
321,1356.1234833333335
324,1354.5311666666664
327,1354.6698833333328
330,1354.2712833333328
333,1352.1166166666655
336,1353.1105500000006
339,1352.327216666666
342,1351.3000333333334
345,1351.1375166666664
348,1351.1382166666656
351,1350.318416666667
354,1348.9147166666667
357,1347.4218333333336
360,1346.718566666667
363,1345.4551666666669
366,1344.31765
369,1344.2313500000007
372,1344.4605500000002
375,1344.686883333333
378,1343.5063166666664
381,1342.161933333333
384,1341.3866
387,1340.6686833333335
390,1338.866933333334
393,1336.8561833333333
396,1336.506583333334
399,1334.6670833333333
402,1332.4711833333326
405,1333.8388833333327
408,1334.771116666667
411,1335.6861333333334
414,1335.4139166666666
417,1334.4508999999998
420,1334.1331666666667
423,1330.931716666667
