steps,return
60,1540.2086666666664
63,1536.7635333333337
66,1540.7818499999996
69,1536.4147333333337
72,1542.3238333333327
75,1541.0646166666666
78,1538.7665833333328
81,1538.991933333333
84,1542.1746500000006
87,1531.4903833333335
90,1529.4786000000001
93,1526.3454000000002
96,1522.8364499999998
99,1523.4720333333335
102,1525.272733333334
105,1520.9003999999995
108,1519.034683333333
111,1515.2048833333338
114,1514.2149
117,1518.1936166666671
120,1514.9197166666675
123,1513.4542666666669
126,1515.9678999999999
129,1520.3538
132,1519.3226333333332
135,1515.3176999999998
138,1505.9526333333336
141,1501.2762833333334
144,1498.8245333333332
147,1498.7378999999994
150,1497.4968833333335
153,1505.5365666666667
156,1507.3247500000004
159,1504.1351833333326
162,1501.5226999999998
165,1500.4691666666665
168,1501.9904166666668
171,1503.6834499999998
174,1496.2113000000002
177,1495.2680000000003
180,1499.3932000000002
183,1500.2446666666672
186,1498.1168
189,1495.0804499999997
192,1496.1018833333328
195,1495.4112833333331
198,1493.03445
201,1496.0210500000003
204,1495.7434999999996
207,1494.0635833333329
210,1493.1244333333332
213,1489.0075666666655
216,1496.4120000000003
219,1495.346216666667
222,1502.5695833333327
225,1502.881816666667
228,1503.7061999999996
231,1502.9817333333338
234,1503.6209666666666
237,1501.3655499999998
240,1501.8151500000004
243,1501.6570833333333
246,1503.0950166666664
249,1502.405516666667
252,1503.8121166666667
255,1503.1046166666665
258,1501.5217166666669
261,1501.3710833333325
264,1502.354216666666
267,1502.3970333333334
270,1503.4464166666664
273,1505.9772166666664
276,1507.0745833333333
279,1509.8912166666667
282,1510.1459166666664
285,1507.7785333333338
288,1504.9094666666663
291,1504.900233333333
294,1504.9073499999995
297,1504.9927000000007
