steps,return
60,1875.1173333333336
63,1873.6062999999997
66,1886.3965999999998
69,1888.7831250000006
72,1884.9677833333337
75,1883.8216416666671
78,1884.9910166666666
81,1886.9246499999997
84,1887.6011916666664
87,1882.2404666666669
90,1879.4028499999997
93,1880.7948249999993
96,1882.5998500000005
99,1882.1526416666666
102,1879.8451500000003
105,1882.1506083333336
108,1881.1407083333334
111,1882.8924000000004
114,1885.7771916666668
117,1879.7819249999995
120,1881.0441833333334
123,1882.3090583333333
126,1877.4403333333332
129,1881.0183833333338
132,1878.3779333333339
135,1878.2399666666663
138,1870.7083916666659
141,1869.1459249999998
144,1862.097625
147,1863.0596416666665
150,1860.2477583333339
153,1854.8168750000011
156,1857.2646750000001
159,1855.7384666666665
162,1848.3256333333338
165,1844.4933750000007
168,1847.15625
171,1843.8942916666667
174,1837.0084749999994
177,1835.0648250000002
180,1779.6730916666672
183,1770.210316666666
186,1764.6651249999998
189,1740.690608333334
192,1760.6497916666667
195,1749.091916666666
198,1749.219841666667
201,1739.126525
204,1733.7829166666663
207,1717.618108333333
210,1732.858108333334
213,1711.9337250000008
216,1708.3756999999998
219,1720.2057833333336
222,1637.8989
225,1659.5303999999994
228,1676.6929583333333
231,1674.0070166666671
234,1705.1474833333334
237,1681.4375166666666
240,1627.8672333333334
243,1618.4656416666667
246,1584.0454750000001
249,1577.573625
252,1629.181991666667
255,1626.158316666667
258,1617.3665749999993
261,1584.0891166666668
264,1618.2596166666663
267,1615.7621166666668
270,1599.6128666666664
273,1585.3767500000004
276,1587.4741000000004
279,1589.200041666666
282,1589.51625
285,1585.9230916666666
288,1589.5699166666661
291,1582.6224666666667
294,1584.5317583333338
297,1580.4976416666661
300,1577.5996000000002
303,1582.3442583333333
306,1579.288816666667
309,1579.422583333333
312,1574.192116666667
315,1577.5534666666665
318,1576.8500000000001
321,1580.4839000000004
324,1581.3177749999998
327,1581.1011666666666
330,1576.7560333333333
333,1575.007875000001
336,1575.4992500000005
339,1580.896441666667
342,1582.1911833333331
345,1582.8013
348,1579.6288666666671
351,1580.9267750000006
354,1581.7028666666672
357,1579.016275
360,1582.4464666666665
363,1586.1957249999998
366,1579.2599083333334
369,1588.3126
372,1585.8499666666664
375,1584.358558333334
378,1585.8956416666667
381,1577.9233583333332
384,1581.3204249999992
387,1582.5983000000006
390,1584.669016666666
393,1588.2683
396,1579.9972333333335
399,1579.3195666666663
402,1572.7058
405,1579.2165749999997
408,1583.2463666666672
411,1578.8771750000005
414,1583.2642749999998
417,1581.6848
420,1580.3633666666665
423,1581.672033333333
426,1577.6511500000004
429,1577.124749999999
432,1580.1575166666664
435,1572.1374416666658
438,1576.3700000000006
441,1567.934533333333
444,1564.10735
447,1561.749616666667
450,1562.2703000000001
453,1566.2993916666662
456,1570.4136999999992
459,1556.4526999999998
462,1565.8009499999998
465,1569.3876749999997
468,1568.1086083333332
471,1559.1154499999996
474,1561.7385250000007
477,1559.1073416666666
