steps,return
60,-153.017624458247
63,-152.3022163603782
66,-157.8666193443673
69,-152.92935872626873
72,-155.98351882125377
75,-157.65807072679164
78,-158.33907288614455
81,-159.16763879124355
84,-162.41023487406738
87,-167.29667196525713
90,-166.32396760341794
93,-166.20658412052802
96,-167.22725537164692
99,-165.31209993477023
102,-165.71169183634873
105,-166.64339563730337
108,-166.8937748833001
111,-166.55148296194008
114,-165.8565849074292
117,-163.49083000044376
120,-163.77225057494678
123,-162.16647128792516
126,-163.02790998674294
129,-162.38234943395085
132,-162.56673576665733
135,-167.0706690656159
