steps,return
60,1384.4890000000005
63,1374.315833333333
66,1378.3291500000003
69,1381.2377833333337
72,1380.4190166666665
75,1388.28525
78,1399.0147833333328
81,1399.7678166666665
84,1411.4123833333326
87,1415.3317333333332
90,1413.8855833333334
93,1416.3056000000004
96,1416.5283833333335
99,1419.1669999999997
102,1419.5508166666668
105,1424.041583333333
108,1427.4827166666666
111,1442.5224333333333
114,1430.08705
117,1445.842883333333
120,1437.5868333333326
123,1447.9631
126,1437.6854499999997
129,1442.8054166666673
132,1444.6324499999998
135,1445.5668999999998
138,1443.476566666667
141,1442.7503833333333
144,1442.9200500000004
147,1445.6395499999996
