steps,return
60,1690.9896083333333
63,1687.6161666666667
66,1693.3140916666669
69,1686.1036999999994
72,1689.9603750000003
75,1696.0364166666668
78,1691.2260999999996
81,1698.37925
84,1692.8627666666664
87,1694.5394833333332
90,1696.8899833333335
93,1694.8580083333325
96,1697.3002249999993
99,1688.0062833333332
102,1701.1089583333332
105,1764.7518666666672
108,1725.9082249999994
111,1762.4739083333334
114,1777.4815750000005
117,1719.879033333333
120,1720.2312166666668
123,1817.9281583333332
126,1778.156283333333
129,1733.6220250000013
132,1803.5679500000008
135,1802.1959249999998
138,1820.9543250000004
141,1837.989491666667
144,1831.0443583333329
147,1818.3745750000005
150,1839.4997833333337
153,1836.5822333333338
156,1832.9353333333331
159,1842.9295916666663
162,1850.4551833333328
165,1846.7275
168,1856.785833333334
171,1852.893233333333
174,1851.2916999999995
177,1845.0594666666666
180,1853.3735666666669
183,1855.9415666666666
186,1845.4015583333332
189,1853.0576083333328
192,1845.9090000000003
195,1840.6421166666669
198,1839.1111499999997
201,1840.1637583333334
204,1835.2863666666663
207,1836.5226666666658
210,1828.6993833333333
213,1833.6294749999997
216,1834.8527583333334
219,1833.2274916666672
222,1821.2357416666657
225,1828.7083250000007
228,1825.2665166666663
231,1825.0250083333337
234,1820.8666666666668
237,1818.7749416666666
240,1823.4370666666666
243,1818.8644249999998
246,1815.2132666666666
249,1809.3739916666661
