steps,return
60,1457.4110666666666
63,1460.5000666666667
66,1458.8296666666663
69,1459.09975
72,1463.7213166666672
75,1462.919533333333
78,1461.8452333333328
81,1468.2527333333328
84,1464.5339000000001
87,1466.2560999999998
90,1464.0051333333329
93,1460.8437499999993
96,1459.6544666666668
99,1460.4267666666665
102,1468.1739166666666
105,1470.9076166666666
108,1474.7207000000005
111,1472.9844499999997
114,1469.94765
117,1467.2661999999998
120,1470.9451999999994
123,1470.1734166666668
126,1473.0086833333332
129,1470.2944
132,1465.0067000000001
135,1460.6425166666668
138,1460.7513666666664
141,1462.8739333333335
144,1459.3831166666662
147,1461.8693000000003
150,1467.9473000000005
153,1467.5712333333333
156,1469.7704999999996
159,1471.0857999999998
162,1470.0449500000002
165,1468.6239000000003
168,1469.2843166666664
171,1470.7665166666666
174,1468.5012166666668
177,1468.909333333334
180,1472.1729833333336
183,1471.2306666666661
186,1468.2902333333334
189,1470.9970666666668
192,1468.8729166666672
195,1472.5441833333332
198,1471.7240333333339
